OTUID,taxonomy,Phylum,Class,Order,Family,Genus,Species,confidence,OTU_ID,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCSH1,CCSH2,CCSH3,CCSH4,CCSH5,CCSH6,CNR1,CNR2,CNR3,CNR4,CNR5,CNR6,CNSH1,CNSH2,CNSH3,CNSH4,CNSH5,CNSH6,CWNR1,CWNR2,CWNR3,CWNR4,CWNR5,CWNR6,CWNSH1,CWNSH2,CWNSH3,CWNSH4,CWNSH5,CWNSH6,CWR1,CWR2,CWR3,CWR4,CWR5,CWR6,CWSH1,CWSH2,CWSH3,CWSH4,CWSH5,CWSH6,DCR1,DCR2,DCR3,DCR4,DCR5,DCR6,DCSH1,DCSH2,DCSH3,DCSH4,DCSH5,DCSH6,DNR1,DNR2,DNR3,DNR4,DNR5,DNR6,DNSH1,DNSH2,DNSH3,DNSH4,DNSH5,DNSH6,DWNR1,DWNR2,DWNR3,DWNR4,DWNR5,DWNR6,DWNSH1,DWNSH2,DWNSH3,DWNSH4,DWNSH5,DWNSH6,DWR1,DWR2,DWR3,DWR4,DWR5,DWR6,DWSH1,DWSH2,DWSH3,DWSH4,DWSH5,DWSH6,HCR1,HCR2,HCR3,HCR4,HCR5,HCR6,HCSH1,HCSH2,HCSH3,HCSH4,HCSH5,HCSH6,HNR1,HNR2,HNR3,HNR4,HNR5,HNR6,HNSH1,HNSH2,HNSH3,HNSH4,HNSH5,HNSH6,HWNR1,HWNR2,HWNR3,HWNR4,HWNR5,HWNR6,HWNSH1,HWNSH2,HWNSH3,HWNSH4,HWNSH5,HWNSH6,HWR1,HWR2,HWR3,HWR4,HWR5,HWR6,HWSH1,HWSH2,HWSH3,HWSH4,HWSH5,HWSH6
0049884b05882dd82e674477c6304648,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Occultifur,k__Fungi,0.792369398,0049884b05882dd82e674477c6304648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00db91dd89274ac3d7a0a1f5d74b1edf,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_vibratilis,0.999984346,00db91dd89274ac3d7a0a1f5d74b1edf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01310d629a2277417519eecec727994b,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999631858,01310d629a2277417519eecec727994b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018a670a52bd75d836fe6050f61e9768,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,k__Fungi,k__Fungi,k__Fungi,0.999999991,018a670a52bd75d836fe6050f61e9768,7,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02243c07e56a083684f1e510ac558dc1,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999303988,02243c07e56a083684f1e510ac558dc1,2,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025234a2b3feda29594dc14ed6cecdf6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,s__Cladophialophora_chaetospira,0.998004317,025234a2b3feda29594dc14ed6cecdf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0296de3b9bf6357ca86a446fba52014d,k__Fungi,p__Ascomycota,c__Pezizomycetes,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999980847,0296de3b9bf6357ca86a446fba52014d,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02e0753ba499c18c08475856638f352d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_alboglobosus,0.997706568,02e0753ba499c18c08475856638f352d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
037777ac1416737e867acb25c68b21d0,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999594157,037777ac1416737e867acb25c68b21d0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03cd80f06415c303d636469cc7cad684,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Cryptococcus,s__Cryptococcus_frias,0.99992701,03cd80f06415c303d636469cc7cad684,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
